,0,1
0,  2-s2.0-85130695267,1
1,    2-s2.0-85130691845,1
2,    2-s2.0-85130604430,1
3,    2-s2.0-85130574738,1
4,    2-s2.0-85130563678,1
5,    2-s2.0-85130525848,1
6,    2-s2.0-85130502287,1
7,    2-s2.0-85130497307,1
8,    2-s2.0-85130490057,1
9,    2-s2.0-85130486403,1
10,    2-s2.0-85130463881,1
11,    2-s2.0-85130463766,1
12,    2-s2.0-85130437175,1
13,    2-s2.0-85130427372,1
14,    2-s2.0-85130410215,1
15,    2-s2.0-85130304405,1
16,    2-s2.0-85130296809,1
17,    2-s2.0-85130296762,1
18,    2-s2.0-85130295666,1
19,    2-s2.0-85130293153,1
20,    2-s2.0-85130293095,1
21,    2-s2.0-85130256909,1
22,    2-s2.0-85130247574,1
23,    2-s2.0-85130205858,1
24,    2-s2.0-85130179019,1
25,    2-s2.0-85130162608,1
26,    2-s2.0-85130147438,1
27,    2-s2.0-85130102197,1
28,    2-s2.0-85130048823,1
29,    2-s2.0-85129995135,1
30,    2-s2.0-85129962156,1
31,    2-s2.0-85129937376,1
32,    2-s2.0-85129902014,1
33,    2-s2.0-85129839861,1
34,    2-s2.0-85129838334,1
35,    2-s2.0-85129829733,1
36,    2-s2.0-85129803985,1
37,    2-s2.0-85129803820,1
38,    2-s2.0-85129788366,1
39,    2-s2.0-85129725889,1
40,    2-s2.0-85129725804,1
41,    2-s2.0-85129706836,1
42,    2-s2.0-85129705009,1
43,    2-s2.0-85129678385,1
44,    2-s2.0-85129669146,1
45,    2-s2.0-85129658824,1
46,    2-s2.0-85129641522,1
47,    2-s2.0-85129615553,1
48,    2-s2.0-85129594940,1
49,    2-s2.0-85129589378,1
50,    2-s2.0-85129581807,1
51,    2-s2.0-85129574414,1
52,    2-s2.0-85129570816,1
53,    2-s2.0-85129567036,1
54,    2-s2.0-85129541455,1
55,    2-s2.0-85129503297,1
56,    2-s2.0-85129425012,1
57,    2-s2.0-85129404069,1
58,    2-s2.0-85129372188,1
59,    2-s2.0-85129334732,1
60,    2-s2.0-85129329098,1
61,    2-s2.0-85129311459,1
62,    2-s2.0-85129277690,1
63,    2-s2.0-85129240906,1
64,    2-s2.0-85129236753,1
65,    2-s2.0-85129212433,1
66,    2-s2.0-85129208433,1
67,    2-s2.0-85129157949,1
68,    2-s2.0-85129151390,1
69,    2-s2.0-85129113815,1
70,    2-s2.0-85129073019,1
71,    2-s2.0-85128983117,1
72,    2-s2.0-85128976663,1
73,    2-s2.0-85128867783,1
74,    2-s2.0-85128865807,1
75,    2-s2.0-85128858024,1
76,    2-s2.0-85128730377,1
77,    2-s2.0-85128720577,1
78,    2-s2.0-85128661971,1
79,    2-s2.0-85128640446,1
80,    2-s2.0-85128636030,1
81,    2-s2.0-85128618964,1
82,    2-s2.0-85128610845,1
83,    2-s2.0-85128522081,1
84,    2-s2.0-85128496589,1
85,    2-s2.0-85128493153,1
86,    2-s2.0-85128472227,1
87,    2-s2.0-85128469655,1
88,    2-s2.0-85128412714,1
89,    2-s2.0-85128384007,1
90,    2-s2.0-85128329838,1
91,    2-s2.0-85128313253,1
92,    2-s2.0-85128307559,1
93,    2-s2.0-85128304570,1
94,    2-s2.0-85128286874,1
95,    2-s2.0-85128284711,1
96,    2-s2.0-85128243654,1
97,    2-s2.0-85128233489,1
98,    2-s2.0-85128214073,1
99,    2-s2.0-85128201513,1
